,file,Name,Parties,First Party,Second Party,Agreement Date,Effective Date,Expiration Date,Notice Period,Anti-Assignment,Amount,Condition for termination of contract,Limit the ability of a party to transfer the license being granted to a third party,File,first_party_location,second_party_location
126,EMERALDHEALTHTHERAPEUTICSINC_06_10_2020-EX-4.5-CONSULTING AGREEMENT - DR. GAETANO MORELLO N.D. INC..docx,CONSULTING AGREEMENT,"['EMERALD HEALTH NATURALS, INC.', 'DR. GAETANO MORELLO N.D. INC.']","EMERALD HEALTH NATURALS, INC.",DR. GAETANO MORELLO N.D. INC.,"January 10, 2019","January 10, 2019","twenty-four (24) months from January 10th, 2019",30 days,Yes,"$240,000","The contract can be terminated for cause, without cause with a 30-day notice period, or by the contractor with a 30-day notice period.",Yes,EMERALDHEALTHTHERAPEUTICSINC_06_10_2020-EX-4.5-CONSULTING AGREEMENT - DR. GAETANO MORELLO N.D. INC..docx,Burnaby,Vancouver
127,EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement.docx,Agreement,"['Emerald Health Sciences Inc. (EHS)', 'Emerald Health Nutraceuticals Inc. (EHN)', 'Michael T. Murray, N.D. (Dr. Murray)']",Emerald Health Sciences Inc. (EHS),"Michael T. Murray, N.D. (Dr. Murray)","September 1, 2016","September 1, 2016","December 31, 2028",90 days,Yes,"$8,333 per month","EHS or EHN, on the one hand, and Dr. Murray, on the other, may terminate any Services Term of this Agreement by delivering 60 days written notice to the other party.",Yes,EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement.docx,Null,Arizona
128,EmbarkComInc_19991008_S-1A_EX-10.10_6487661_EX-10.10_Co-Branding Agreement.docx,CO-BRANDING AGREEMENT,"['Snap Technologies, Inc.', 'United Airlines, Inc.']","Snap Technologies, Inc.","United Airlines, Inc.","June 8, 1999","June 8, 1999","December 31, 2000",sixty (60) days,Yes,Omitted,Either party may terminate the Term upon not less than sixty (60) days prior written notice to the other party of any breach hereof by such other party.,Yes,EmbarkComInc_19991008_S-1A_EX-10.10_6487661_EX-10.10_Co-Branding Agreement.docx,California,Delaware
129,EmmisCommunicationsCorp_20191125_8-K_EX-10.6_11906433_EX-10.6_Marketing Agreement.docx,Agreement,"['MediaCo Holding Inc.', 'WBLS-WLIB LLC']",Licensee,Programmer,"November 25, 2019","November 25, 2019","December 31, 2022",fifteen (15) days,Yes,No payment,"The contract can be terminated due to events of default by either party, including failure to observe or perform obligations, breach of representations and warranties, or specific events related to the Licensee or Programmer.",Yes,EmmisCommunicationsCorp_20191125_8-K_EX-10.6_11906433_EX-10.6_Marketing Agreement.docx,Indiana,Indiana
130,GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement2.docx,AMENDMENT,"['TWENTIETH CENTURY FOX LICENSING & MERCHANDISING, division of Fox Entertainment Group, Inc.', 'Glu Mobile, Inc. f/k/a Sorrent, Inc.']","TWENTIETH CENTURY FOX LICENSING & MERCHANDISING, division of Fox Entertainment Group, Inc.","Glu Mobile, Inc. f/k/a Sorrent, Inc.","November 11, 2005",,,,Yes,***** dollars (US$*****),The contract can be terminated if either party breaches the agreement and fails to cure the breach within a specified period of time.,Yes,GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement2.docx,Null,Null
131,"GIGGLESN_HUGS,INC_06_23_2016-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.docx",Strategic Alliance Agreement,"['Giggles N’ Hugs, Inc.', 'Kiddo, Inc.']","Giggles N’ Hugs, Inc.","Kiddo, Inc.","May 17, 2016","May 17, 2016",,30 days,Yes,"4,400,000 shares","Either party may terminate this agreement after 3 years following the effective date, or upon completion of work, material breach, or failure to achieve milestones.",Yes,"GIGGLESN_HUGS,INC_06_23_2016-EX-10.2-STRATEGIC ALLIANCE AGREEMENT.docx",Nevada,Florida
132,GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement4.docx,AMENDMENT,"['Fox Mobile Entertainment, Inc.', 'Glu Mobile Inc.']","Fox Mobile Entertainment, Inc.",Glu Mobile Inc.,"February 19, 2007","December 16, 2004","March 31, 2008",,,,The contract can be terminated with a written notice.,,GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement4.docx,Null,Null
133,GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement3.docx,AMENDMENT,"['Fox Mobile Entertainment, Inc.', 'Glu Mobile, Inc.']","Fox Mobile Entertainment, Inc.","Glu Mobile, Inc.","March 27, 2006",,,,,*****%,The contract does not specify the conditions for termination.,Yes,GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement3.docx,Null,Null
134,GOCALLINC_03_30_2000-EX-10.7-Promotion Agreement.docx,Agreement,"['Go Call, Inc.', 'PageMaster Corporation']","Go Call, Inc.",PageMaster Corporation,"March 12,1999","June 1,1999","June 1, 2000",thirty (30) days,Yes,"$100,000.00","The contract can be terminated under conditions such as fire, flood, explosion, war, strike, embargo, government requirement, civil or military authority, and acts of God.",Yes,GOCALLINC_03_30_2000-EX-10.7-Promotion Agreement.docx,Canada,CA
135,ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT.docx,Agreement,"['ENERGY XXI GULF COAST, INC.', 'ENERGY XXI USA, INC.']",Shipper,Transporter,"March 11, 2015","March 11, 2015",,thirty (30) days,Yes,,The contract can be terminated by either party upon thirty (30) days’ prior written notice.,Yes,ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT.docx,Null,Null
136,ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT.docx,DISTRIBUTOR AGREEMENT,"['VendingData Corporation, a Nevada corporation', 'Technical Casino Supplies Ltd, an English company']",Vendor,Distributor,"January 21, 2005","January 21, 2005",,ninety (90) calendar days,Yes,"Four Thousand Nine Hundred Dollars ($4,950.00 U.S.) per unit","This Agreement may be terminated by either Vendor or Distributor, upon written notice of termination of this Agreement no later than ninety (90) calendar days prior to the expiration of the relevant Term, then in effect; By Vendor and Distributor, at any time, upon the mutual written agreement of Vendor and Distributor; By either Vendor or Distributor, following a material or continuing breach of this Agreement (in the case of a breach which is capable of remedy) by the other party and the breaching party’s failure to cure such breach within ninety (90) days of receiving written notice of such breach, where a breach shall be considered capable of remedy if the party in breach can comply with the provision in question in all respects other than as to the time of the performance (provided that the time of performance is not of the essence); or",Yes,ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT.docx,Nevada,English
137,DIVERSINETCORP_03_01_2012-EX-4-RESELLER AGREEMENT.docx,RESELLER AGREEMENT,"['Diversinet Corp.', '2205925 Ontario Limited']",Diversinet Corp.,2205925 Ontario Limited,"January 11, 2011","January 11, 2011",,sixty (60) days,Yes,"four hundred thousand ($400,000) dollars","Either Party may terminate this Agreement upon thirty (30) days’ written notice to Reseller if Reseller fails to make any AMC payment when due under this Agreement, or when an audit, as set out in Section 13, by Diversinet reveals any under-payment for any payment due, and it is not paid within the thirty (30) day written notice period.",Yes,DIVERSINETCORP_03_01_2012-EX-4-RESELLER AGREEMENT.docx,Canada,Canada
138,ENTRUSTINC_07_24_1998-EX-10.5-STRATEGIC ALLIANCE AGREEMENT.docx,STRATEGIC ALLIANCE AGREEMENT,"['NORTHERN TELECOM LIMITED', 'ENTRUST TECHNOLOGIES INC.']",NORTHERN TELECOM LIMITED,ENTRUST TECHNOLOGIES INC.,"31 December, 1996",the close of business on the date specified in the preamble hereof,the third anniversary of the Effective Date or (ii) the date on which ETI ceases to be a Subsidiary of NTL,sixty (60) days,Yes,"U.S.$5,000,000","In the event of any material breach of this Agreement by either Nortel or Entrust, the non-breaching Party may terminate this Agreement by giving sixty (60) days' prior written notice to the other Party",Yes,ENTRUSTINC_07_24_1998-EX-10.5-STRATEGIC ALLIANCE AGREEMENT.docx,Canadian,Maryland
139,"ETELOS,INC_03_09_2004-EX-10.8-DISTRIBUTOR AGREEMENT.docx",Agreement,"['Tripath Technology, Inc.', 'Uniquest Corporation']",Tripath,Distributor,7/1/98,7/1/98,,one month,Yes,,Either party may terminate this Agreement for any reason with thirty days written notice.,Yes,"ETELOS,INC_03_09_2004-EX-10.8-DISTRIBUTOR AGREEMENT.docx",Santa Clara,Santa Jose
140,EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.docx,AGREEMENT,"['Rogers Cable Communications Inc.', 'EuroMedia Holdings Corp.']",Rogers,Licensor,"July 11, 2006","July 11, 2006","June 30, 2010",sixty (60) days,Yes,fifty (50)% of Retail Revenues,Either Rogers or Licensor may terminate the agreement if the other party defaults in the performance or observance of any of the material terms of this Agreement and such default continues for a period of thirty (30) days after written notice thereof.,Yes,EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.docx,Canada,Null
141,EUROPEANMICROHOLDINGSINC_03_06_1998-EX-10.6-DISTRIBUTOR AGREEMENT.docx,DISTRIBUTOR AGREEMENT,"['WatchGuard Technologies, Inc.', 'European Micro']","WatchGuard Technologies, Inc.",European Micro,"November 5, 1997","November 5, 1997","September 30, 1997",thirty (30) days,Yes,"$100,000.00","WGT may terminate the agreement for failure to comply with marketing requirements, material change in management or ownership, assignment of the agreement, solicitation outside the territory, insolvency, failure to perform obligations, or with 90 days notice after the initial term.",Yes,EUROPEANMICROHOLDINGSINC_03_06_1998-EX-10.6-DISTRIBUTOR AGREEMENT.docx,Delaware,Null
142,FLOTEKINDUSTRIESINCCN_05_09_2019-EX-10.1-SUPPLY AGREEMENT.docx,SUPPLY AGREEMENT,"['Florida Chemical Company, LLC', 'Flotek Chemistry, LLC']","Florida Chemical Company, LLC","Flotek Chemistry, LLC","February 28, 2019","February 28, 2019","December 31, 2023","September 30, 2023",Yes,[***] per pound of Terpene Product,Either party may terminate the agreement if the other party materially violates the agreement and does not remedy the violation within 30 days of receiving written notice.,Yes,FLOTEKINDUSTRIESINCCN_05_09_2019-EX-10.1-SUPPLY AGREEMENT.docx,Delaware,Oklahoma
143,CoherusBiosciencesInc_20200227_10-K_EX-10.29_12021376_EX-10.29_Development Agreement.docx,Agreement,"['Bioeq IP AG', 'Coherus BioSciences, Inc.']",Bioeq,Licensee,"Nov. 02, 2019","Nov. 02, 2019",,eighteen (18) months,Yes,EUR [***] (€ [***]),Either Party may terminate this Agreement upon material breach of any obligation under this Agreement by the other Party provided that such breach (if curable) is not cured within thirty (30) days following the receipt of written notice thereof by the non-breaching Party.,Yes,CoherusBiosciencesInc_20200227_10-K_EX-10.29_12021376_EX-10.29_Development Agreement.docx,Null,USA
144,FerroglobePlc_20150624_F-4A_EX-10.20_9154746_EX-10.20_Outsourcing Agreement.docx,Outsourcing Agreement,"['SILICON SMELTERS « Pty » Ltd', 'ESPACIO INFORMATION TECHNOLOGY, SA.']",SILICON SMELTERS « Pty » Ltd,"ESPACIO INFORMATION TECHNOLOGY, SA.","January 1, 2009","January 1, 2009",,three months,Yes,"TWO HUNDRED THOUSAND EUROS (200,000 €)","The Customer can cancel, on its own accord, the present Agreement upon certified notice to EIT, in the following cases:

*   If there is a repeated interruption, by EIT, of the services convened in this Agreement, for a period of four working days.
*   Upon the institution, by or against EIT, of insolvency, receivership or bankruptcy proceedings or any other proceedings for the settlement of its debts.
*   Non-performance by EIT of its contractual obligations and warranties, assumed in the present Agreement.
*   Absorption or fusion of EIT by other companies. In this case, the Customer can decide if he wants to continue working with the new company, which will have to continue rendering all the services convened in this Agreement, in the same conditions.
*   For simple convenience.",Yes,FerroglobePlc_20150624_F-4A_EX-10.20_9154746_EX-10.20_Outsourcing Agreement.docx,South Africa,SPAIN
145,EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement.docx,LICENSE AND RESELLER AGREEMENT,"['EHAVE, INC.', 'COMPANION HEALTHCARE TECHNOLOGIES CORP']","EHAVE, INC.",COMPANION HEALTHCARE TECHNOLOGIES CORP,"October 30, 2018","October 30, 2018",,30 Business Days,Yes,,"The contract can be terminated by either party for breach of contract, insolvency, bankruptcy, or failure to pay royalties.",Yes,EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement.docx,Canada,Ontario
146,FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement.docx,Agreement,"['Freeze Tag Inc.', 'American Diabetes Association, Inc.']",Freeze Tag Inc.,"American Diabetes Association, Inc.","March 22, 2018","March 15, 2018","March 14, 2020",ten (10) business days,Yes,"$150,000","The contract can be terminated before expiration due to material breach, damage to reputation or goodwill, insolvency, bankruptcy, liquidation, asset transfer, or change of control.",Yes,FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement.docx,Delaware,Ohio
147,FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement.docx,Distributorship agreement,"['Signature Orthopaedics Pty Ltd', 'CPM Medical Consultants LLC']",Signature Orthopaedics Pty Ltd,"CPM Medical Consultants, LLC",29/3/18,29/3/18,,twelve (12) months,Yes,USD$,"The contract can be terminated if one party fails to pay, breaches the agreement, becomes insolvent, or if the Distributor assigns the agreement to a non-permitted assignee.",Yes,FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement.docx,NSW,TX
148,GAINSCOINC_01_21_2010-EX-10.41-SPONSORSHIP AGREEMENT.docx,Sponsorship Agreement,"['Stallings Capital Group Consultants, Ltd., a Texas limited partnership dba Bob Stallings Racing', 'GAINSCO, INC., a Texas corporation']",Racing,Sponsor,"January 1, 2010","January 1, 2010","December 31, 2010",,Yes,"$750,000.00","The Sponsor shall have the right at any time prior to December 31, 2010 to terminate this Agreement by giving written notice of such termination to Racing.",Yes,GAINSCOINC_01_21_2010-EX-10.41-SPONSORSHIP AGREEMENT.docx,Texas,Texas
149,ElPolloLocoHoldingsInc_20200306_10-K_EX-10.16_12041700_EX-10.16_Development Agreement.docx,FRANCHISE DEVELOPMENT AGREEMENT,"['EL POLLO LOCO, INC.', 'Developer']","EL POLLO LOCO, INC.",Developer,____________________,,"______, 20___",thirty (30) days,Yes,"Twenty Thousand Dollars ($20,000)","The agreement can be terminated due to events of default, such as failure to meet development schedules, unauthorized assignment, violation of covenants, bankruptcy, or other breaches of contract.",Yes,ElPolloLocoHoldingsInc_20200306_10-K_EX-10.16_12041700_EX-10.16_Development Agreement.docx,California,Null
150,FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.docx,AGREEMENT,"['CONVERGTV, INC.', 'Fulucai Productions Ltd.']","CONVERGTV, INC.",Fulucai Productions Ltd.,"November 15, 2012","November 15, 2012",,,Yes,,The contract does not specify conditions for termination.,Yes,FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement.docx,Florida,Canada
151,GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement.docx,DISTRIBUTOR AGREEMENT,"['B & C General Warehouse Corporation LLC', 'XXXXXXXXXXXXXXXXXXXXXXX']",B & C General Warehouse Corporation LLC,XXXXXXXXXXXXXXXXXXXXXXX,1 August 2019,1 August 2019,,Ninety (90) days,Yes,,"Either Party may terminate this Agreement prior to its expiration upon the occurrence of either of the following: (i) the other Party becomes insolvent, or institutes (or there is instituted against it) proceedings in bankruptcy, insolvency, reorganization or dissolution, makes an assignment for the benefit of creditors or becomes nationalized or has any of its material assets confiscated or expropriated; or (ii) the other Party (in this case, the “breaching Party”) fails to perform any of its obligations hereunder and fails to correct such failure within Ninety (90) calendar days after receiving written demand therefore from the non-breaching Party, specifying the failure in sufficient detail for the breaching Party to correct such failure; provided, however, that upon a second breach of the same obligation by such Party, the other Party may forthwith terminate this Agreement upon notice to the breaching Party.",Yes,GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement.docx,USA,Brazil
152,FUSIONPHARMACEUTICALSINC_06_05_2020-EX-10.17-Supply Agreement - FUSION.docx,Supply Agreement,"['Centre for Probe Development and Commercialization', 'FUSION Pharmaceuticals Inc.']",Centre for Probe Development and Commercialization,FUSION Pharmaceuticals Inc.,NOT FOUND,Effective Date,NOT FOUND,[***],Yes,NOT FOUND,"FUSION may terminate this Agreement by providing written notice to the CPDC where [***] following the Effective Date of this Supply Agreement, FUSION may terminate this Agreement without cause by providing CPDC with [***] prior written notice.",Yes,FUSIONPHARMACEUTICALSINC_06_05_2020-EX-10.17-Supply Agreement - FUSION.docx,Canada,Canada
153,ELANDIAINTERNATIONALINC_04_25_2007-EX-10.21-Outsourcing Agreement.docx,Network Management Outsourcing Agreement,"['Bank of South Pacific Ltd', 'Datec (PNG) LTD']",Bank of South Pacific Ltd,Datec (PNG) LTD,May 2004,June 16th 2004,,6 months,Yes,"K3,524,322.00","The BSP may terminate this agreement by giving written notice to Datec if Datec materially breaches the agreement and the breach cannot be, or is not, rectified within 30 days after a notice from the BSP.",Yes,ELANDIAINTERNATIONALINC_04_25_2007-EX-10.21-Outsourcing Agreement.docx,PNG,Null
154,GarrettMotionInc_20181001_8-K_EX-2.4_11364532_EX-2.4_Intellectual Property Agreement.docx,INTELLECTUAL PROPERTY AGREEMENT,"['HONEYWELL INTERNATIONAL INC.', 'GARRETT MOTION INC.']",HONEYWELL INTERNATIONAL INC.,GARRETT MOTION INC.,"September 27, 2018",,,,Yes,,"The agreement may be terminated by Honeywell at any time, in its sole discretion, prior to the Distribution or upon the termination of the Separation Agreement in accordance with its terms.",Yes,GarrettMotionInc_20181001_8-K_EX-2.4_11364532_EX-2.4_Intellectual Property Agreement.docx,Null,Null
155,GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT.docx,Consulting Agreement,"['Global Technologies, Ltd', 'Timothy Cabrera']","Global Technologies, Ltd",Timothy Cabrera,"January 2, 2020","January 2, 2020",,without notice,Yes,"$250,000","Either Party shall have the right to terminate this Agreement without notice in the event of the bankruptcy, insolvency, or assignment for the benefit of creditors of the other Party.",Yes,GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT.docx,Delaware,FL
156,"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.docx",SUPPLY AGREEMENT,"['EWSD 1, LLC, d/b/a/ SHI FARMS', 'Gridiron BioNutrients, Inc']","EWSD 1, LLC, d/b/a/ SHI FARMS","Gridiron BioNutrients, Inc",1/26/2020,,,,Yes,"$150,000",Either Party may terminate this Agreement at any time prior to delivery of the Product.,Yes,"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.docx",Delaware,Nevada
157,GlobalTechnologiesGroupInc_20050928_10KSB_EX-10.9_4148808_EX-10.9_Content License Agreement.docx,Agreement,"['Global Music International, Inc. d/b/a Independent Music Network (IMNTV)', 'MobileVision Communications Ltd.']",IMNTV,Distributor,13/07/05,the last date signed below,twelve (12) months after the Launch,thirty (30) days,Yes,55% of subscriber revenue,Either party may terminate the Agreement at any time in the event of a material breach by the other party that remains uncured after thirty (30) days written notice of the breach.,Yes,GlobalTechnologiesGroupInc_20050928_10KSB_EX-10.9_4148808_EX-10.9_Content License Agreement.docx,Connecticut,China
158,"CERES,INC_01_25_2012-EX-10.20-Collaboration Agreement.docx",Collaboration Agreement,"['Institute of Grassland and Environmental Research', 'Ceres, Inc.']",Institute of Grassland and Environmental Research,"Ceres, Inc.","April 1, 2007","April 1, 2007",,one (1) year,Yes,,"The contract can be terminated due to failure to satisfy material obligations, ceasing activities in COLLABORATION CROPS, bankruptcy or dissolution, failure to commercialize, or lack of active research projects.",Yes,"CERES,INC_01_25_2012-EX-10.20-Collaboration Agreement.docx",United Kingdom,United States of America
159,ENTERPRISEPRODUCTSPARTNERSLP_07_08_1998-EX-10.3-TRANSPORTATION CONTRACT.docx,TRANSPORTATION CONTRACT,"['ENTERPRISE\xa0TRANSPORTATION\xa0COMPANY', 'ENTERPRISE\xa0PRODUCTS\xa0OPERATING\xa0L.P.']",ENTERPRISE TRANSPORTATION COMPANY,ENTERPRISE PRODUCTS OPERATING L.P.,"June 1, 1998","June 1, 1998",,thirty (30) days,Yes,,The contract can be terminated by either party upon not less than thirty (30) days prior written notice to the other party.,Yes,ENTERPRISEPRODUCTSPARTNERSLP_07_08_1998-EX-10.3-TRANSPORTATION CONTRACT.docx,TX,Delaware
160,GOLDRESOURCECORP_12_11_2008-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.docx,AGREEMENT,"['GOLD RESOURCE CORPORATION', 'HOCHSCHILD MINING HOLDINGS LIMITED']",GRC,HOC,"December 5, 2008",,,,Yes,"US$12,990,000","The benefits provided to HOC pursuant to the provisions of Section 2.3 (Additional Financing), Article 4 (Pre-Emptive Rights), Article 5 (Board Representation), Article 6 (First Offer) and Section 8.1 (Designation of Geologist) above shall immediately terminate and be of no further force or effect if HOC shall hold a Pro Rata Interest less than 14.5% or HOC shall have achieved a Pro Rata Interest greater than 14.5% but subsequently sells or otherwise disposes of 20% or more of its Pro Rata Interest in any one or more transactions.",Yes,GOLDRESOURCECORP_12_11_2008-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.docx,Colorado,England
161,GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement.docx,MEDIA LICENSE AGREEMENT,"['NATIONAL FOOTBALL MUSEUM, INC.', 'HOF Village Media Group, LLC', 'HOF Village, LLC']","NATIONAL FOOTBALL MUSEUM, INC.","HOF Village Media Group, LLC",Effective Date,Closing,"December 31, 2034",six (6) months,Yes,"one million two hundred and fifty thousand dollars ($1,250,000)","Either Party shall have the right to terminate this Agreement at any time for an uncured material breach by the other Party, including the non-payment of the Annual Guarantee, license fees and staffing fees",Yes,GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement.docx,Ohio,Delaware
162,DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.docx,NETWORK AFFILIATE AGREEMENT,"['National CineMedia, LLC', 'Digital Cinema Destinations Corp.']","National CineMedia, LLC",Digital Cinema Destinations Corp.,"14th day of March, 2011",__________________________,,180 days,Yes,$30.00 per digitized screen,"Either Party may terminate this Agreement, immediately, by giving written notice of termination to the other, and without prejudice to any other rights or remedies the terminating party may have, if: The other Party breaches any material provision of this Agreement, other than any provision of Section 14.8 or Articles V or XIII, and fails to cure such breach within thirty (30) days after receipt from the terminating party of written notice of the breach.",Yes,DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.docx,Delaware,Delaware
163,GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.docx,Agreement,"['PSiTech Corporation', 'Empirical Ventures, Inc.']",PSiTech Corporation,"Empirical Ventures, Inc.","Feb 10, 2014","Feb 10, 2014",,ninety (90) days,Yes,"two hundred thousand dollars (US$200,000)","Either party may terminate this Agreement, effective upon written notice to the other party, if the other party materially breaches this Agreement.",Yes,GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.docx,Hong Kong,Nevada
164,CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement.docx,Agreement,"['Vyera Pharmaceuticals, LLC', 'CytoDyn Inc.']",Vyera,CytoDyn,"December 17, 2019","December 17, 2019",,[***],Yes,"$500,000","Either party may terminate the agreement in the event of a material breach, bankruptcy, safety concerns, or failure to meet certain milestones or obligations.",Yes,CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement.docx,Delaware,Delaware
165,GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.docx,Addendum,"['National Football League Alumni - Northern California Chapter', 'National Football League Alumni, Inc.', 'Food For Athletes, Inc.', 'Gridiron BioNutrients™']",National Football League Alumni - Northern California Chapter,"Food For Athletes, Inc.","November 7, 2017","November 7, 2017",,,Yes,$0.05 per Unit sold of Licensed Products,The contract does not specify the conditions for termination.,Yes,GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement.docx,California,California
166,EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.docx,Agreement,"['ETON Pharmaceuticals, Inc.', 'Aucta Pharmaceuticals, Inc.']",ETON,Aucta,"June 12, 2019","September 2, 2019",,180 days,Yes,"$5,000,000",The Agreement may be terminated by either Party by written notice to the other at any time if the other Party is in material breach or default of any of its obligations.,Yes,EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.docx,Illinois,NJ
167,ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT.docx,AGREEMENT,"['DIALOG', 'ENERGOUS']",DIALOG,ENERGOUS,"November 6, 2016","November 6, 2016",,one hundred eighty (180) days,Yes,[***],"Either party may terminate the agreement if the other party materially breaches a material provision of this Agreement, and fails to cure such breach within thirty (30) days, or if the other party undergoes an Insolvency Event.",Yes,ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT.docx,England,Delaware
168,GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT.docx,SPONSORSHIP AGREEMENT,"['Excite, Inc.', 'CyberShop']",Excite,Client,"March 31, 1998","March 31, 1998",,thirty (30) days,Yes,XXXXXXXXXXXXXXXXXXXXXXXXXXXX,Either party may terminate this Agreement if the other party materially breaches its obligations hereunder and such breach remains uncured for thirty (30) days following the notice to the breaching party of the breach.,Yes,GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT.docx,California,York
169,GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.docx,Affiliate Agreement,"['Physician Sales & Service, Inc.', 'Gulf South Medical Supply, Inc.']","Physician Sales & Service, Inc.","Gulf South Medical Supply, Inc.","December 14, 1997",,,,Yes,,The contract does not explicitly state conditions for termination.,Yes,GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.docx,Delaware,Florida
